taxonomy,concept,unit,symbol_coverage,symbol_coverage_count,units_by_symbol,filing_frequency_by_symbol,latest_safe_availability_by_symbol,duplicate_or_restatement_by_symbol,formal_case_safe_coverage_by_symbol,recommended_fixed_schema,selection_reason
us-gaap,LiabilitiesCurrent,USD,AAPL/AMZN,2,AAPL:USD; AMZN:USD,AAPL:unique_filed_dates=63; AMZN:unique_filed_dates=63,AAPL:2023-11-03..2024-05-03; AMZN:2023-10-27..2024-05-01,AAPL:groups=64;max_versions=252; AMZN:groups=64;max_versions=130,AAPL:26/26; AMZN:26/26; JPM:0/26,false,not selected: no compact cross-asset contract role
us-gaap,LiabilitiesNoncurrent,USD,AAPL/AMZN,2,AAPL:USD; AMZN:USD,AAPL:unique_filed_dates=26; AMZN:unique_filed_dates=7,AAPL:2023-11-03..2024-05-03; AMZN:2012-10-26..2012-10-26,AAPL:groups=27;max_versions=210; AMZN:groups=8;max_versions=104,AAPL:26/26; AMZN:26/26; JPM:0/26,false,not selected: no compact cross-asset contract role
us-gaap,NetCashProvidedByUsedInFinancingActivities,USD,AAPL/AMZN/JPM,3,AAPL:USD; AMZN:USD; JPM:USD,AAPL:unique_filed_dates=51; AMZN:unique_filed_dates=63; JPM:unique_filed_dates=63,AAPL:2023-11-03..2024-05-03; AMZN:2023-10-27..2024-05-01; JPM:2023-11-01..2024-05-01,AAPL:groups=61;max_versions=168; AMZN:groups=152;max_versions=78; JPM:groups=68;max_versions=16,AAPL:26/26; AMZN:26/26; JPM:26/26,true,cash flow from financing
us-gaap,NetCashProvidedByUsedInInvestingActivities,USD,AAPL/AMZN/JPM,3,AAPL:USD; AMZN:USD; JPM:USD,AAPL:unique_filed_dates=51; AMZN:unique_filed_dates=63; JPM:unique_filed_dates=63,AAPL:2023-11-03..2024-05-03; AMZN:2023-10-27..2024-05-01; JPM:2023-11-01..2024-05-01,AAPL:groups=61;max_versions=168; AMZN:groups=152;max_versions=78; JPM:groups=68;max_versions=16,AAPL:26/26; AMZN:26/26; JPM:26/26,true,cash flow from investing
us-gaap,NetCashProvidedByUsedInOperatingActivities,USD,AAPL/AMZN/JPM,3,AAPL:USD; AMZN:USD; JPM:USD,AAPL:unique_filed_dates=51; AMZN:unique_filed_dates=63; JPM:unique_filed_dates=63,AAPL:2023-11-03..2024-05-03; AMZN:2023-10-27..2024-05-01; JPM:2023-11-01..2024-05-01,AAPL:groups=61;max_versions=168; AMZN:groups=152;max_versions=78; JPM:groups=68;max_versions=16,AAPL:26/26; AMZN:26/26; JPM:26/26,true,cash flow from operations
us-gaap,PaymentsOfDividends,USD,AAPL/JPM,2,AAPL:USD; JPM:USD,AAPL:unique_filed_dates=50; JPM:unique_filed_dates=63,AAPL:2023-11-03..2024-05-03; JPM:2023-11-01..2024-05-01,AAPL:groups=66;max_versions=378; JPM:groups=68;max_versions=16,AAPL:26/26; AMZN:0/26; JPM:26/26,false,not selected: no compact cross-asset contract role
us-gaap,PaymentsRelatedToTaxWithholdingForShareBasedCompensation,USD,AAPL,1,AAPL:USD,AAPL:unique_filed_dates=52,AAPL:2023-11-03..2024-05-03,AAPL:groups=57;max_versions=210,AAPL:26/26; AMZN:0/26; JPM:0/26,false,not selected: no compact cross-asset contract role
us-gaap,PaymentsToAcquirePropertyPlantAndEquipment,USD,AAPL/AMZN,2,AAPL:USD; AMZN:USD,AAPL:unique_filed_dates=41; AMZN:unique_filed_dates=32,AAPL:2023-11-03..2024-05-03; AMZN:2017-04-28..2017-04-28,AAPL:groups=46;max_versions=126; AMZN:groups=82;max_versions=78,AAPL:26/26; AMZN:26/26; JPM:0/26,false,not selected: no compact cross-asset contract role
us-gaap,PropertyPlantAndEquipmentNet,USD,AAPL/AMZN/JPM,3,AAPL:USD; AMZN:USD; JPM:USD,AAPL:unique_filed_dates=52; AMZN:unique_filed_dates=46; JPM:unique_filed_dates=58,AAPL:2023-11-03..2024-05-03; AMZN:2020-10-30..2020-10-30; JPM:2023-11-01..2023-11-01,AAPL:groups=53;max_versions=252; AMZN:groups=47;max_versions=156; JPM:groups=59;max_versions=32,AAPL:26/26; AMZN:26/26; JPM:26/26,false,not selected: no compact cross-asset contract role
us-gaap,RetainedEarningsAccumulatedDeficit,USD,AAPL/AMZN/JPM,3,AAPL:USD; AMZN:USD; JPM:USD,AAPL:unique_filed_dates=63; AMZN:unique_filed_dates=63; JPM:unique_filed_dates=63,AAPL:2023-11-03..2024-05-03; AMZN:2023-10-27..2024-05-01; JPM:2023-11-01..2024-05-01,AAPL:groups=64;max_versions=252; AMZN:groups=64;max_versions=130; JPM:groups=64;max_versions=32,AAPL:26/26; AMZN:26/26; JPM:26/26,false,not selected: no compact cross-asset contract role
us-gaap,StockIssuedDuringPeriodValueShareBasedCompensation,USD,AAPL/AMZN,2,AAPL:USD; AMZN:USD,AAPL:unique_filed_dates=2; AMZN:unique_filed_dates=8,AAPL:2010-01-25..2010-01-25; AMZN:2017-02-10..2017-02-10,AAPL:groups=3;max_versions=84; AMZN:groups=10;max_versions=78,AAPL:26/26; AMZN:26/26; JPM:0/26,false,not selected: no compact cross-asset contract role
us-gaap,StockRepurchaseProgramAuthorizedAmount1,USD,AAPL/AMZN/JPM,3,AAPL:USD; AMZN:USD; JPM:USD,AAPL:unique_filed_dates=28; AMZN:unique_filed_dates=2; JPM:unique_filed_dates=9,AAPL:2022-01-28..2022-01-28; AMZN:2016-01-29..2016-01-29; JPM:2023-02-21..2024-02-16,AAPL:groups=23;max_versions=210; AMZN:groups=2;max_versions=26; JPM:groups=8;max_versions=8,AAPL:26/26; AMZN:26/26; JPM:26/26,false,not selected: no compact cross-asset contract role
us-gaap,StockRepurchaseProgramRemainingAuthorizedRepurchaseAmount1,USD,AMZN/JPM,2,AMZN:USD; JPM:USD,AMZN:unique_filed_dates=14; JPM:unique_filed_dates=6,AMZN:2023-10-27..2024-05-01; JPM:2020-02-25..2020-02-25,AMZN:groups=14;max_versions=26; JPM:groups=6;max_versions=4,AAPL:0/26; AMZN:26/26; JPM:26/26,false,not selected: no compact cross-asset contract role
us-gaap,StockholdersEquity,USD,AAPL/AMZN/JPM,3,AAPL:USD; AMZN:USD; JPM:USD,AAPL:unique_filed_dates=63; AMZN:unique_filed_dates=63; JPM:unique_filed_dates=63,AAPL:2023-11-03..2024-05-03; AMZN:2023-10-27..2024-05-01; JPM:2023-11-01..2024-05-01,AAPL:groups=66;max_versions=420; AMZN:groups=66;max_versions=260; JPM:groups=65;max_versions=32,AAPL:26/26; AMZN:26/26; JPM:26/26,true,equity attributable to stockholders
