symbol,decision_week,decision_session,decision_close_utc,decision_close_ny,execution_session,news_latest_safe_date,news_latest_safe_age_calendar_days,news_same_day_ambiguous_count,news_missing_date_count,news_records_1d,news_records_3d,news_records_7d,news_records_14d,news_records_30d,table_latest_safe_filed_date,table_latest_safe_age_calendar_days,table_observations_with_filed_before_decision,table_same_day_filed_ambiguous_count,ts_sessions_strictly_before_decision,ts_sessions_through_decision,ts_latest_session_through_decision,ts_formal_period_missing_session_count,image_candidate_count_nominal_end_le_decision,image_latest_safe_nominal_end,image_latest_safe_filename,image_latest_safe_age_calendar_days,modality_unavailable_or_ambiguous_flags,pit_risk_flags,warmup_reference_start,final_valuation_session
AMZN,2024-02-05,2024-02-09,2024-02-09T21:00:00+00:00,2024-02-09T16:00:00-05:00,2024-02-12,2023-12-16,55,0,0,0,0,0,0,0,2024-02-02,7,66976,0,6064,6065,2024-02-09,0,48,2023-12-31,amzn_2023_H2_candlestick.png,40,IMAGE_WINDOW_END_INFERRED_FROM_HALF_YEAR_FILENAME,IMAGE_WINDOW_END_INFERRED_FROM_HALF_YEAR_FILENAME,2023-01-04,2024-07-05
JPM,2024-02-05,2024-02-09,2024-02-09T21:00:00+00:00,2024-02-09T16:00:00-05:00,2024-02-12,,,0,,0,0,0,0,0,2023-11-01,100,6476,0,6064,6065,2024-02-09,0,48,2023-12-31,jpm_2023_H2_candlestick.png,40,TEXT_UNAVAILABLE;IMAGE_WINDOW_END_INFERRED_FROM_HALF_YEAR_FILENAME,TEXT_UNAVAILABLE;IMAGE_WINDOW_END_INFERRED_FROM_HALF_YEAR_FILENAME,2023-01-04,2024-07-05
AAPL,2024-02-12,2024-02-16,2024-02-16T21:00:00+00:00,2024-02-16T16:00:00-05:00,2024-02-20,2023-12-16,62,0,0,0,0,0,0,0,2024-02-02,14,99162,0,6069,6070,2024-02-16,0,0,,,,IMAGE_UNAVAILABLE,IMAGE_UNAVAILABLE,2023-01-04,2024-07-05
AMZN,2024-02-12,2024-02-16,2024-02-16T21:00:00+00:00,2024-02-16T16:00:00-05:00,2024-02-20,2023-12-16,62,0,0,0,0,0,0,0,2024-02-02,14,66976,0,6069,6070,2024-02-16,0,48,2023-12-31,amzn_2023_H2_candlestick.png,47,IMAGE_WINDOW_END_INFERRED_FROM_HALF_YEAR_FILENAME,IMAGE_WINDOW_END_INFERRED_FROM_HALF_YEAR_FILENAME,2023-01-04,2024-07-05
JPM,2024-02-12,2024-02-16,2024-02-16T21:00:00+00:00,2024-02-16T16:00:00-05:00,2024-02-20,,,0,,0,0,0,0,0,2023-11-01,107,6476,108,6069,6070,2024-02-16,0,48,2023-12-31,jpm_2023_H2_candlestick.png,47,TEXT_UNAVAILABLE;TABLE_SAME_DAY_FILED_DATE_ONLY_AMBIGUOUS;IMAGE_WINDOW_END_INFERRED_FROM_HALF_YEAR_FILENAME,TEXT_UNAVAILABLE;TABLE_SAME_DAY_FILED_DATE_ONLY_AMBIGUOUS;IMAGE_WINDOW_END_INFERRED_FROM_HALF_YEAR_FILENAME,2023-01-04,2024-07-05
AAPL,2024-02-19,2024-02-23,2024-02-23T21:00:00+00:00,2024-02-23T16:00:00-05:00,2024-02-26,2023-12-16,69,0,0,0,0,0,0,0,2024-02-02,21,99162,0,6073,6074,2024-02-23,0,0,,,,IMAGE_UNAVAILABLE,IMAGE_UNAVAILABLE,2023-01-04,2024-07-05
AMZN,2024-02-19,2024-02-23,2024-02-23T21:00:00+00:00,2024-02-23T16:00:00-05:00,2024-02-26,2023-12-16,69,0,0,0,0,0,0,0,2024-02-02,21,66976,0,6073,6074,2024-02-23,0,48,2023-12-31,amzn_2023_H2_candlestick.png,54,IMAGE_WINDOW_END_INFERRED_FROM_HALF_YEAR_FILENAME,IMAGE_WINDOW_END_INFERRED_FROM_HALF_YEAR_FILENAME,2023-01-04,2024-07-05
JPM,2024-02-19,2024-02-23,2024-02-23T21:00:00+00:00,2024-02-23T16:00:00-05:00,2024-02-26,,,0,,0,0,0,0,0,2024-02-16,7,6584,0,6073,6074,2024-02-23,0,48,2023-12-31,jpm_2023_H2_candlestick.png,54,TEXT_UNAVAILABLE;IMAGE_WINDOW_END_INFERRED_FROM_HALF_YEAR_FILENAME,TEXT_UNAVAILABLE;IMAGE_WINDOW_END_INFERRED_FROM_HALF_YEAR_FILENAME,2023-01-04,2024-07-05
AAPL,2024-02-26,2024-03-01,2024-03-01T21:00:00+00:00,2024-03-01T16:00:00-05:00,2024-03-04,2023-12-16,76,0,0,0,0,0,0,0,2024-02-02,28,99162,0,6078,6079,2024-03-01,0,0,,,,IMAGE_UNAVAILABLE,IMAGE_UNAVAILABLE,2023-01-04,2024-07-05
AMZN,2024-02-26,2024-03-01,2024-03-01T21:00:00+00:00,2024-03-01T16:00:00-05:00,2024-03-04,2023-12-16,76,0,0,0,0,0,0,0,2024-02-02,28,66976,0,6078,6079,2024-03-01,0,48,2023-12-31,amzn_2023_H2_candlestick.png,61,IMAGE_WINDOW_END_INFERRED_FROM_HALF_YEAR_FILENAME,IMAGE_WINDOW_END_INFERRED_FROM_HALF_YEAR_FILENAME,2023-01-04,2024-07-05
JPM,2024-02-26,2024-03-01,2024-03-01T21:00:00+00:00,2024-03-01T16:00:00-05:00,2024-03-04,,,0,,0,0,0,0,0,2024-02-16,14,6584,0,6078,6079,2024-03-01,0,48,2023-12-31,jpm_2023_H2_candlestick.png,61,TEXT_UNAVAILABLE;IMAGE_WINDOW_END_INFERRED_FROM_HALF_YEAR_FILENAME,TEXT_UNAVAILABLE;IMAGE_WINDOW_END_INFERRED_FROM_HALF_YEAR_FILENAME,2023-01-04,2024-07-05
AAPL,2024-03-04,2024-03-08,2024-03-08T21:00:00+00:00,2024-03-08T16:00:00-05:00,2024-03-11,2023-12-16,83,0,0,0,0,0,0,0,2024-02-02,35,99162,0,6083,6084,2024-03-08,0,0,,,,IMAGE_UNAVAILABLE,IMAGE_UNAVAILABLE,2023-01-04,2024-07-05
AMZN,2024-03-04,2024-03-08,2024-03-08T21:00:00+00:00,2024-03-08T16:00:00-05:00,2024-03-11,2023-12-16,83,0,0,0,0,0,0,0,2024-02-02,35,66976,0,6083,6084,2024-03-08,0,48,2023-12-31,amzn_2023_H2_candlestick.png,68,IMAGE_WINDOW_END_INFERRED_FROM_HALF_YEAR_FILENAME,IMAGE_WINDOW_END_INFERRED_FROM_HALF_YEAR_FILENAME,2023-01-04,2024-07-05
JPM,2024-03-04,2024-03-08,2024-03-08T21:00:00+00:00,2024-03-08T16:00:00-05:00,2024-03-11,,,0,,0,0,0,0,0,2024-02-16,21,6584,0,6083,6084,2024-03-08,0,48,2023-12-31,jpm_2023_H2_candlestick.png,68,TEXT_UNAVAILABLE;IMAGE_WINDOW_END_INFERRED_FROM_HALF_YEAR_FILENAME,TEXT_UNAVAILABLE;IMAGE_WINDOW_END_INFERRED_FROM_HALF_YEAR_FILENAME,2023-01-04,2024-07-05
AAPL,2024-03-11,2024-03-15,2024-03-15T20:00:00+00:00,2024-03-15T16:00:00-04:00,2024-03-18,2023-12-16,90,0,0,0,0,0,0,0,2024-02-02,42,99162,0,6088,6089,2024-03-15,0,0,,,,IMAGE_UNAVAILABLE,IMAGE_UNAVAILABLE,2023-01-04,2024-07-05
AMZN,2024-03-11,2024-03-15,2024-03-15T20:00:00+00:00,2024-03-15T16:00:00-04:00,2024-03-18,2023-12-16,90,0,0,0,0,0,0,0,2024-02-02,42,66976,0,6088,6089,2024-03-15,0,48,2023-12-31,amzn_2023_H2_candlestick.png,75,IMAGE_WINDOW_END_INFERRED_FROM_HALF_YEAR_FILENAME,IMAGE_WINDOW_END_INFERRED_FROM_HALF_YEAR_FILENAME,2023-01-04,2024-07-05
JPM,2024-03-11,2024-03-15,2024-03-15T20:00:00+00:00,2024-03-15T16:00:00-04:00,2024-03-18,,,0,,0,0,0,0,0,2024-02-16,28,6584,0,6088,6089,2024-03-15,0,48,2023-12-31,jpm_2023_H2_candlestick.png,75,TEXT_UNAVAILABLE;IMAGE_WINDOW_END_INFERRED_FROM_HALF_YEAR_FILENAME,TEXT_UNAVAILABLE;IMAGE_WINDOW_END_INFERRED_FROM_HALF_YEAR_FILENAME,2023-01-04,2024-07-05
AAPL,2024-03-18,2024-03-22,2024-03-22T20:00:00+00:00,2024-03-22T16:00:00-04:00,2024-03-25,2023-12-16,97,0,0,0,0,0,0,0,2024-02-02,49,99162,0,6093,6094,2024-03-22,0,0,,,,IMAGE_UNAVAILABLE,IMAGE_UNAVAILABLE,2023-01-04,2024-07-05
AMZN,2024-03-18,2024-03-22,2024-03-22T20:00:00+00:00,2024-03-22T16:00:00-04:00,2024-03-25,2023-12-16,97,0,0,0,0,0,0,0,2024-02-02,49,66976,0,6093,6094,2024-03-22,0,48,2023-12-31,amzn_2023_H2_candlestick.png,82,IMAGE_WINDOW_END_INFERRED_FROM_HALF_YEAR_FILENAME,IMAGE_WINDOW_END_INFERRED_FROM_HALF_YEAR_FILENAME,2023-01-04,2024-07-05
JPM,2024-03-18,2024-03-22,2024-03-22T20:00:00+00:00,2024-03-22T16:00:00-04:00,2024-03-25,,,0,,0,0,0,0,0,2024-02-16,35,6584,0,6093,6094,2024-03-22,0,48,2023-12-31,jpm_2023_H2_candlestick.png,82,TEXT_UNAVAILABLE;IMAGE_WINDOW_END_INFERRED_FROM_HALF_YEAR_FILENAME,TEXT_UNAVAILABLE;IMAGE_WINDOW_END_INFERRED_FROM_HALF_YEAR_FILENAME,2023-01-04,2024-07-05
AAPL,2024-03-25,2024-03-28,2024-03-28T20:00:00+00:00,2024-03-28T16:00:00-04:00,2024-04-01,2023-12-16,103,0,0,0,0,0,0,0,2024-02-02,55,99162,0,6097,6098,2024-03-28,0,0,,,,IMAGE_UNAVAILABLE,IMAGE_UNAVAILABLE,2023-01-04,2024-07-05
AMZN,2024-03-25,2024-03-28,2024-03-28T20:00:00+00:00,2024-03-28T16:00:00-04:00,2024-04-01,2023-12-16,103,0,0,0,0,0,0,0,2024-02-02,55,66976,0,6097,6098,2024-03-28,0,48,2023-12-31,amzn_2023_H2_candlestick.png,88,IMAGE_WINDOW_END_INFERRED_FROM_HALF_YEAR_FILENAME,IMAGE_WINDOW_END_INFERRED_FROM_HALF_YEAR_FILENAME,2023-01-04,2024-07-05
JPM,2024-03-25,2024-03-28,2024-03-28T20:00:00+00:00,2024-03-28T16:00:00-04:00,2024-04-01,,,0,,0,0,0,0,0,2024-02-16,41,6584,0,6097,6098,2024-03-28,0,48,2023-12-31,jpm_2023_H2_candlestick.png,88,TEXT_UNAVAILABLE;IMAGE_WINDOW_END_INFERRED_FROM_HALF_YEAR_FILENAME,TEXT_UNAVAILABLE;IMAGE_WINDOW_END_INFERRED_FROM_HALF_YEAR_FILENAME,2023-01-04,2024-07-05
AAPL,2024-04-01,2024-04-05,2024-04-05T20:00:00+00:00,2024-04-05T16:00:00-04:00,2024-04-08,2023-12-16,111,0,0,0,0,0,0,0,2024-02-02,63,99162,0,6102,6103,2024-04-05,0,0,,,,IMAGE_UNAVAILABLE,IMAGE_UNAVAILABLE,2023-01-04,2024-07-05
AMZN,2024-04-01,2024-04-05,2024-04-05T20:00:00+00:00,2024-04-05T16:00:00-04:00,2024-04-08,2023-12-16,111,0,0,0,0,0,0,0,2024-02-02,63,66976,0,6102,6103,2024-04-05,0,48,2023-12-31,amzn_2023_H2_candlestick.png,96,IMAGE_WINDOW_END_INFERRED_FROM_HALF_YEAR_FILENAME,IMAGE_WINDOW_END_INFERRED_FROM_HALF_YEAR_FILENAME,2023-01-04,2024-07-05
JPM,2024-04-01,2024-04-05,2024-04-05T20:00:00+00:00,2024-04-05T16:00:00-04:00,2024-04-08,,,0,,0,0,0,0,0,2024-02-16,49,6584,0,6102,6103,2024-04-05,0,48,2023-12-31,jpm_2023_H2_candlestick.png,96,TEXT_UNAVAILABLE;IMAGE_WINDOW_END_INFERRED_FROM_HALF_YEAR_FILENAME,TEXT_UNAVAILABLE;IMAGE_WINDOW_END_INFERRED_FROM_HALF_YEAR_FILENAME,2023-01-04,2024-07-05
AAPL,2024-04-08,2024-04-12,2024-04-12T20:00:00+00:00,2024-04-12T16:00:00-04:00,2024-04-15,2023-12-16,118,0,0,0,0,0,0,0,2024-02-02,70,99162,0,6107,6108,2024-04-12,0,0,,,,IMAGE_UNAVAILABLE,IMAGE_UNAVAILABLE,2023-01-04,2024-07-05
AMZN,2024-04-08,2024-04-12,2024-04-12T20:00:00+00:00,2024-04-12T16:00:00-04:00,2024-04-15,2023-12-16,118,0,0,0,0,0,0,0,2024-02-02,70,66976,0,6107,6108,2024-04-12,0,48,2023-12-31,amzn_2023_H2_candlestick.png,103,IMAGE_WINDOW_END_INFERRED_FROM_HALF_YEAR_FILENAME,IMAGE_WINDOW_END_INFERRED_FROM_HALF_YEAR_FILENAME,2023-01-04,2024-07-05
JPM,2024-04-08,2024-04-12,2024-04-12T20:00:00+00:00,2024-04-12T16:00:00-04:00,2024-04-15,,,0,,0,0,0,0,0,2024-02-16,56,6584,0,6107,6108,2024-04-12,0,48,2023-12-31,jpm_2023_H2_candlestick.png,103,TEXT_UNAVAILABLE;IMAGE_WINDOW_END_INFERRED_FROM_HALF_YEAR_FILENAME,TEXT_UNAVAILABLE;IMAGE_WINDOW_END_INFERRED_FROM_HALF_YEAR_FILENAME,2023-01-04,2024-07-05
AAPL,2024-04-15,2024-04-19,2024-04-19T20:00:00+00:00,2024-04-19T16:00:00-04:00,2024-04-22,2023-12-16,125,0,0,0,0,0,0,0,2024-02-02,77,99162,0,6112,6113,2024-04-19,0,0,,,,IMAGE_UNAVAILABLE,IMAGE_UNAVAILABLE,2023-01-04,2024-07-05
AMZN,2024-04-15,2024-04-19,2024-04-19T20:00:00+00:00,2024-04-19T16:00:00-04:00,2024-04-22,2023-12-16,125,0,0,0,0,0,0,0,2024-02-02,77,66976,0,6112,6113,2024-04-19,0,48,2023-12-31,amzn_2023_H2_candlestick.png,110,IMAGE_WINDOW_END_INFERRED_FROM_HALF_YEAR_FILENAME,IMAGE_WINDOW_END_INFERRED_FROM_HALF_YEAR_FILENAME,2023-01-04,2024-07-05
JPM,2024-04-15,2024-04-19,2024-04-19T20:00:00+00:00,2024-04-19T16:00:00-04:00,2024-04-22,,,0,,0,0,0,0,0,2024-02-16,63,6584,0,6112,6113,2024-04-19,0,48,2023-12-31,jpm_2023_H2_candlestick.png,110,TEXT_UNAVAILABLE;IMAGE_WINDOW_END_INFERRED_FROM_HALF_YEAR_FILENAME,TEXT_UNAVAILABLE;IMAGE_WINDOW_END_INFERRED_FROM_HALF_YEAR_FILENAME,2023-01-04,2024-07-05
AAPL,2024-04-22,2024-04-26,2024-04-26T20:00:00+00:00,2024-04-26T16:00:00-04:00,2024-04-29,2023-12-16,132,0,0,0,0,0,0,0,2024-02-02,84,99162,0,6117,6118,2024-04-26,0,0,,,,IMAGE_UNAVAILABLE,IMAGE_UNAVAILABLE,2023-01-04,2024-07-05
AMZN,2024-04-22,2024-04-26,2024-04-26T20:00:00+00:00,2024-04-26T16:00:00-04:00,2024-04-29,2023-12-16,132,0,0,0,0,0,0,0,2024-02-02,84,66976,0,6117,6118,2024-04-26,0,48,2023-12-31,amzn_2023_H2_candlestick.png,117,IMAGE_WINDOW_END_INFERRED_FROM_HALF_YEAR_FILENAME,IMAGE_WINDOW_END_INFERRED_FROM_HALF_YEAR_FILENAME,2023-01-04,2024-07-05
JPM,2024-04-22,2024-04-26,2024-04-26T20:00:00+00:00,2024-04-26T16:00:00-04:00,2024-04-29,,,0,,0,0,0,0,0,2024-02-16,70,6584,0,6117,6118,2024-04-26,0,48,2023-12-31,jpm_2023_H2_candlestick.png,117,TEXT_UNAVAILABLE;IMAGE_WINDOW_END_INFERRED_FROM_HALF_YEAR_FILENAME,TEXT_UNAVAILABLE;IMAGE_WINDOW_END_INFERRED_FROM_HALF_YEAR_FILENAME,2023-01-04,2024-07-05
AAPL,2024-04-29,2024-05-03,2024-05-03T20:00:00+00:00,2024-05-03T16:00:00-04:00,2024-05-06,2023-12-16,139,0,0,0,0,0,0,0,2024-02-02,91,99162,1680,6122,6123,2024-05-03,0,0,,,,TABLE_SAME_DAY_FILED_DATE_ONLY_AMBIGUOUS;IMAGE_UNAVAILABLE,TABLE_SAME_DAY_FILED_DATE_ONLY_AMBIGUOUS;IMAGE_UNAVAILABLE,2023-01-04,2024-07-05
AMZN,2024-04-29,2024-05-03,2024-05-03T20:00:00+00:00,2024-05-03T16:00:00-04:00,2024-05-06,2023-12-16,139,0,0,0,0,0,0,0,2024-05-01,2,67886,0,6122,6123,2024-05-03,0,48,2023-12-31,amzn_2023_H2_candlestick.png,124,IMAGE_WINDOW_END_INFERRED_FROM_HALF_YEAR_FILENAME,IMAGE_WINDOW_END_INFERRED_FROM_HALF_YEAR_FILENAME,2023-01-04,2024-07-05
JPM,2024-04-29,2024-05-03,2024-05-03T20:00:00+00:00,2024-05-03T16:00:00-04:00,2024-05-06,,,0,,0,0,0,0,0,2024-05-01,2,6672,0,6122,6123,2024-05-03,0,48,2023-12-31,jpm_2023_H2_candlestick.png,124,TEXT_UNAVAILABLE;IMAGE_WINDOW_END_INFERRED_FROM_HALF_YEAR_FILENAME,TEXT_UNAVAILABLE;IMAGE_WINDOW_END_INFERRED_FROM_HALF_YEAR_FILENAME,2023-01-04,2024-07-05
AAPL,2024-05-06,2024-05-10,2024-05-10T20:00:00+00:00,2024-05-10T16:00:00-04:00,2024-05-13,2023-12-16,146,0,0,0,0,0,0,0,2024-05-03,7,100842,0,6127,6128,2024-05-10,0,0,,,,IMAGE_UNAVAILABLE,IMAGE_UNAVAILABLE,2023-01-04,2024-07-05
AMZN,2024-05-06,2024-05-10,2024-05-10T20:00:00+00:00,2024-05-10T16:00:00-04:00,2024-05-13,2023-12-16,146,0,0,0,0,0,0,0,2024-05-01,9,67886,0,6127,6128,2024-05-10,0,48,2023-12-31,amzn_2023_H2_candlestick.png,131,IMAGE_WINDOW_END_INFERRED_FROM_HALF_YEAR_FILENAME,IMAGE_WINDOW_END_INFERRED_FROM_HALF_YEAR_FILENAME,2023-01-04,2024-07-05
JPM,2024-05-06,2024-05-10,2024-05-10T20:00:00+00:00,2024-05-10T16:00:00-04:00,2024-05-13,,,0,,0,0,0,0,0,2024-05-01,9,6672,0,6127,6128,2024-05-10,0,48,2023-12-31,jpm_2023_H2_candlestick.png,131,TEXT_UNAVAILABLE;IMAGE_WINDOW_END_INFERRED_FROM_HALF_YEAR_FILENAME,TEXT_UNAVAILABLE;IMAGE_WINDOW_END_INFERRED_FROM_HALF_YEAR_FILENAME,2023-01-04,2024-07-05
AAPL,2024-05-13,2024-05-17,2024-05-17T20:00:00+00:00,2024-05-17T16:00:00-04:00,2024-05-20,2023-12-16,153,0,0,0,0,0,0,0,2024-05-03,14,100842,0,6132,6133,2024-05-17,0,0,,,,IMAGE_UNAVAILABLE,IMAGE_UNAVAILABLE,2023-01-04,2024-07-05
AMZN,2024-05-13,2024-05-17,2024-05-17T20:00:00+00:00,2024-05-17T16:00:00-04:00,2024-05-20,2023-12-16,153,0,0,0,0,0,0,0,2024-05-01,16,67886,0,6132,6133,2024-05-17,0,48,2023-12-31,amzn_2023_H2_candlestick.png,138,IMAGE_WINDOW_END_INFERRED_FROM_HALF_YEAR_FILENAME,IMAGE_WINDOW_END_INFERRED_FROM_HALF_YEAR_FILENAME,2023-01-04,2024-07-05
JPM,2024-05-13,2024-05-17,2024-05-17T20:00:00+00:00,2024-05-17T16:00:00-04:00,2024-05-20,,,0,,0,0,0,0,0,2024-05-01,16,6672,0,6132,6133,2024-05-17,0,48,2023-12-31,jpm_2023_H2_candlestick.png,138,TEXT_UNAVAILABLE;IMAGE_WINDOW_END_INFERRED_FROM_HALF_YEAR_FILENAME,TEXT_UNAVAILABLE;IMAGE_WINDOW_END_INFERRED_FROM_HALF_YEAR_FILENAME,2023-01-04,2024-07-05
