symbol,decision_session,decision_time_utc,decision_close_ny,execution_session,packet_version,TEXT_status,selected_news_count,selected_news_latest_date,selected_news_oldest_date,text_latest_safe_age_calendar_days,text_dedup_removed_count,text_same_day_ambiguous_rejected_count,TABLE_status,selected_filing_date,selected_table_concept_count,table_latest_safe_filed_date,table_latest_safe_age_calendar_days,table_same_day_ambiguous_rejected_count,table_selected_restatement_rule,TIME_SERIES_status,latest_included_session,time_series_selected_session_count,time_series_evidence_age_calendar_days,time_series_summary_fields,IMAGE_status,selected_image,selected_image_window_end,image_evidence_age_calendar_days,image_staleness_threshold_rule,PIT_rejection_flags,PIT_violation_count,ambiguous_rejected_count,source_hash_reference,estimated_text_chars,estimated_table_chars,estimated_time_series_chars,estimated_image_chars,estimated_packet_chars,estimated_packet_bytes_utf8
AMZN,2024-01-26,2024-01-26T21:00:00+00:00,2024-01-26T16:00:00-05:00,2024-01-29,M1-FINMULTITIME-DRAFT-0.1,UNAVAILABLE,0,2023-12-16,,41,307,0,AVAILABLE,Assets=2023-10-27;NetCashProvidedByUsedInFinancingActivities=2023-10-27;NetCashProvidedByUsedInInvestingActivities=2023-10-27;NetCashProvidedByUsedInOperatingActivities=2023-10-27;StockholdersEquity=2023-10-27,5,2023-10-27,91,0,latest eligible filed version per exact concept/unit/start/end group,AVAILABLE,2024-01-26,60,0,cumulative_return_20d;cumulative_return_5d;cumulative_return_60d;drawdown_from_60d_peak;high_low_range_20d;realised_volatility_20d_annualised;relative_volume_vs_20d_mean,AVAILABLE,amzn_2023_H2_candlestick.png,2023-12-31,26,none beyond strict inferred window-end gate,IMAGE_WINDOW_END_INFERRED_FROM_HALF_YEAR_FILENAME,0,0,c6c355fa94e9fc361b3ce2ba97928103037164610548cb084e19dcca4d2b7d7c,19,686,466,97,1868,1868
JPM,2024-01-26,2024-01-26T21:00:00+00:00,2024-01-26T16:00:00-05:00,2024-01-29,M1-FINMULTITIME-DRAFT-0.1,UNAVAILABLE,0,,,,0,0,AVAILABLE,Assets=2023-11-01;Liabilities=2023-11-01;NetCashProvidedByUsedInFinancingActivities=2023-11-01;NetCashProvidedByUsedInInvestingActivities=2023-11-01;NetCashProvidedByUsedInOperatingActivities=2023-11-01;StockholdersEquity=2023-11-01,6,2023-11-01,86,0,latest eligible filed version per exact concept/unit/start/end group,AVAILABLE,2024-01-26,60,0,cumulative_return_20d;cumulative_return_5d;cumulative_return_60d;drawdown_from_60d_peak;high_low_range_20d;realised_volatility_20d_annualised;relative_volume_vs_20d_mean,AVAILABLE,jpm_2023_H2_candlestick.png,2023-12-31,26,none beyond strict inferred window-end gate,IMAGE_WINDOW_END_INFERRED_FROM_HALF_YEAR_FILENAME,0,0,18d629b38b7fe56849a238a80e21f66883fc80ae194ea26ac2f759390b28231a,19,804,487,96,2006,2006
AAPL,2024-02-02,2024-02-02T21:00:00+00:00,2024-02-02T16:00:00-05:00,2024-02-05,M1-FINMULTITIME-DRAFT-0.1,UNAVAILABLE,0,2023-12-16,,48,0,0,AVAILABLE,Assets=2023-11-03;Liabilities=2023-11-03;NetCashProvidedByUsedInFinancingActivities=2023-11-03;NetCashProvidedByUsedInInvestingActivities=2023-11-03;NetCashProvidedByUsedInOperatingActivities=2023-11-03;StockholdersEquity=2023-11-03,6,2023-11-03,91,1596,latest eligible filed version per exact concept/unit/start/end group,AVAILABLE,2024-02-02,60,0,cumulative_return_20d;cumulative_return_5d;cumulative_return_60d;drawdown_from_60d_peak;high_low_range_20d;realised_volatility_20d_annualised;relative_volume_vs_20d_mean,UNAVAILABLE,,,,none beyond strict inferred window-end gate,TABLE_SAME_DAY_FILED_DATE_ONLY_AMBIGUOUS,0,1596,56e0e220e2769d174cd44c9da7663d34104ff974620552ea25d9727c541be119,19,801,489,61,1970,1970
AMZN,2024-02-02,2024-02-02T21:00:00+00:00,2024-02-02T16:00:00-05:00,2024-02-05,M1-FINMULTITIME-DRAFT-0.1,UNAVAILABLE,0,2023-12-16,,48,307,0,AVAILABLE,Assets=2023-10-27;NetCashProvidedByUsedInFinancingActivities=2023-10-27;NetCashProvidedByUsedInInvestingActivities=2023-10-27;NetCashProvidedByUsedInOperatingActivities=2023-10-27;StockholdersEquity=2023-10-27,5,2023-10-27,98,858,latest eligible filed version per exact concept/unit/start/end group,AVAILABLE,2024-02-02,60,0,cumulative_return_20d;cumulative_return_5d;cumulative_return_60d;drawdown_from_60d_peak;high_low_range_20d;realised_volatility_20d_annualised;relative_volume_vs_20d_mean,AVAILABLE,amzn_2023_H2_candlestick.png,2023-12-31,33,none beyond strict inferred window-end gate,TABLE_SAME_DAY_FILED_DATE_ONLY_AMBIGUOUS;IMAGE_WINDOW_END_INFERRED_FROM_HALF_YEAR_FILENAME,0,858,eb3021a833b349f41b12a07b5b0bf56e3cafad67251b463690e17d37318fa2aa,19,686,467,97,1869,1869
JPM,2024-02-02,2024-02-02T21:00:00+00:00,2024-02-02T16:00:00-05:00,2024-02-05,M1-FINMULTITIME-DRAFT-0.1,UNAVAILABLE,0,,,,0,0,AVAILABLE,Assets=2023-11-01;Liabilities=2023-11-01;NetCashProvidedByUsedInFinancingActivities=2023-11-01;NetCashProvidedByUsedInInvestingActivities=2023-11-01;NetCashProvidedByUsedInOperatingActivities=2023-11-01;StockholdersEquity=2023-11-01,6,2023-11-01,93,0,latest eligible filed version per exact concept/unit/start/end group,AVAILABLE,2024-02-02,60,0,cumulative_return_20d;cumulative_return_5d;cumulative_return_60d;drawdown_from_60d_peak;high_low_range_20d;realised_volatility_20d_annualised;relative_volume_vs_20d_mean,AVAILABLE,jpm_2023_H2_candlestick.png,2023-12-31,33,none beyond strict inferred window-end gate,IMAGE_WINDOW_END_INFERRED_FROM_HALF_YEAR_FILENAME,0,0,85952110a25464cbec410607bedf18e65f86ae31a32aedbf779b1b9a23389972,19,804,486,96,2005,2005
AAPL,2024-02-09,2024-02-09T21:00:00+00:00,2024-02-09T16:00:00-05:00,2024-02-12,M1-FINMULTITIME-DRAFT-0.1,UNAVAILABLE,0,2023-12-16,,55,0,0,AVAILABLE,Assets=2024-02-02;Liabilities=2024-02-02;NetCashProvidedByUsedInFinancingActivities=2024-02-02;NetCashProvidedByUsedInInvestingActivities=2024-02-02;NetCashProvidedByUsedInOperatingActivities=2024-02-02;StockholdersEquity=2024-02-02,6,2024-02-02,7,0,latest eligible filed version per exact concept/unit/start/end group,AVAILABLE,2024-02-09,60,0,cumulative_return_20d;cumulative_return_5d;cumulative_return_60d;drawdown_from_60d_peak;high_low_range_20d;realised_volatility_20d_annualised;relative_volume_vs_20d_mean,UNAVAILABLE,,,,none beyond strict inferred window-end gate,,0,0,445e18f9dc20f1d04cd74f4f31d7c12f3a10bc8a03778db973b412effaa84965,19,799,488,61,1967,1967
AMZN,2024-02-09,2024-02-09T21:00:00+00:00,2024-02-09T16:00:00-05:00,2024-02-12,M1-FINMULTITIME-DRAFT-0.1,UNAVAILABLE,0,2023-12-16,,55,307,0,AVAILABLE,Assets=2024-02-02;NetCashProvidedByUsedInFinancingActivities=2024-02-02;NetCashProvidedByUsedInInvestingActivities=2024-02-02;NetCashProvidedByUsedInOperatingActivities=2024-02-02;StockholdersEquity=2024-02-02,5,2024-02-02,7,0,latest eligible filed version per exact concept/unit/start/end group,AVAILABLE,2024-02-09,60,0,cumulative_return_20d;cumulative_return_5d;cumulative_return_60d;drawdown_from_60d_peak;high_low_range_20d;realised_volatility_20d_annualised;relative_volume_vs_20d_mean,AVAILABLE,amzn_2023_H2_candlestick.png,2023-12-31,40,none beyond strict inferred window-end gate,IMAGE_WINDOW_END_INFERRED_FROM_HALF_YEAR_FILENAME,0,0,4b7d89d45bf6bf788719d93927dc7114b1d0c227eb75cf95f3f9dd189d5760e4,19,687,464,97,1867,1867
JPM,2024-02-09,2024-02-09T21:00:00+00:00,2024-02-09T16:00:00-05:00,2024-02-12,M1-FINMULTITIME-DRAFT-0.1,UNAVAILABLE,0,,,,0,0,AVAILABLE,Assets=2023-11-01;Liabilities=2023-11-01;NetCashProvidedByUsedInFinancingActivities=2023-11-01;NetCashProvidedByUsedInInvestingActivities=2023-11-01;NetCashProvidedByUsedInOperatingActivities=2023-11-01;StockholdersEquity=2023-11-01,6,2023-11-01,100,0,latest eligible filed version per exact concept/unit/start/end group,AVAILABLE,2024-02-09,60,0,cumulative_return_20d;cumulative_return_5d;cumulative_return_60d;drawdown_from_60d_peak;high_low_range_20d;realised_volatility_20d_annualised;relative_volume_vs_20d_mean,AVAILABLE,jpm_2023_H2_candlestick.png,2023-12-31,40,none beyond strict inferred window-end gate,IMAGE_WINDOW_END_INFERRED_FROM_HALF_YEAR_FILENAME,0,0,4343a13d1bf8a6cc7691d8886a58cfa46a2060b4fa476a253fa8160f6d9c487c,19,804,488,96,2007,2007
AAPL,2024-02-16,2024-02-16T21:00:00+00:00,2024-02-16T16:00:00-05:00,2024-02-20,M1-FINMULTITIME-DRAFT-0.1,UNAVAILABLE,0,2023-12-16,,62,0,0,AVAILABLE,Assets=2024-02-02;Liabilities=2024-02-02;NetCashProvidedByUsedInFinancingActivities=2024-02-02;NetCashProvidedByUsedInInvestingActivities=2024-02-02;NetCashProvidedByUsedInOperatingActivities=2024-02-02;StockholdersEquity=2024-02-02,6,2024-02-02,14,0,latest eligible filed version per exact concept/unit/start/end group,AVAILABLE,2024-02-16,60,0,cumulative_return_20d;cumulative_return_5d;cumulative_return_60d;drawdown_from_60d_peak;high_low_range_20d;realised_volatility_20d_annualised;relative_volume_vs_20d_mean,UNAVAILABLE,,,,none beyond strict inferred window-end gate,,0,0,bb48088ee0dbf9671efd1bb31e34de2f501aaf0f1412539918a11571a19726cf,19,799,489,61,1968,1968
AMZN,2024-02-16,2024-02-16T21:00:00+00:00,2024-02-16T16:00:00-05:00,2024-02-20,M1-FINMULTITIME-DRAFT-0.1,UNAVAILABLE,0,2023-12-16,,62,307,0,AVAILABLE,Assets=2024-02-02;NetCashProvidedByUsedInFinancingActivities=2024-02-02;NetCashProvidedByUsedInInvestingActivities=2024-02-02;NetCashProvidedByUsedInOperatingActivities=2024-02-02;StockholdersEquity=2024-02-02,5,2024-02-02,14,0,latest eligible filed version per exact concept/unit/start/end group,AVAILABLE,2024-02-16,60,0,cumulative_return_20d;cumulative_return_5d;cumulative_return_60d;drawdown_from_60d_peak;high_low_range_20d;realised_volatility_20d_annualised;relative_volume_vs_20d_mean,AVAILABLE,amzn_2023_H2_candlestick.png,2023-12-31,47,none beyond strict inferred window-end gate,IMAGE_WINDOW_END_INFERRED_FROM_HALF_YEAR_FILENAME,0,0,face0e8b8d3bd732037e1b4ef5a201bcd308d368921c87b35edb0d3ee5f1d0b3,19,687,485,97,1888,1888
JPM,2024-02-16,2024-02-16T21:00:00+00:00,2024-02-16T16:00:00-05:00,2024-02-20,M1-FINMULTITIME-DRAFT-0.1,UNAVAILABLE,0,,,,0,0,AVAILABLE,Assets=2023-11-01;Liabilities=2023-11-01;NetCashProvidedByUsedInFinancingActivities=2023-11-01;NetCashProvidedByUsedInInvestingActivities=2023-11-01;NetCashProvidedByUsedInOperatingActivities=2023-11-01;StockholdersEquity=2023-11-01,6,2023-11-01,107,108,latest eligible filed version per exact concept/unit/start/end group,AVAILABLE,2024-02-16,60,0,cumulative_return_20d;cumulative_return_5d;cumulative_return_60d;drawdown_from_60d_peak;high_low_range_20d;realised_volatility_20d_annualised;relative_volume_vs_20d_mean,AVAILABLE,jpm_2023_H2_candlestick.png,2023-12-31,47,none beyond strict inferred window-end gate,TABLE_SAME_DAY_FILED_DATE_ONLY_AMBIGUOUS;IMAGE_WINDOW_END_INFERRED_FROM_HALF_YEAR_FILENAME,0,108,e9e376455c3bae721679e2b6a318ca96ff0d4d50af2b0b6ceb8f2b1f4c31b5ff,19,804,484,96,2003,2003
AAPL,2024-02-23,2024-02-23T21:00:00+00:00,2024-02-23T16:00:00-05:00,2024-02-26,M1-FINMULTITIME-DRAFT-0.1,UNAVAILABLE,0,2023-12-16,,69,0,0,AVAILABLE,Assets=2024-02-02;Liabilities=2024-02-02;NetCashProvidedByUsedInFinancingActivities=2024-02-02;NetCashProvidedByUsedInInvestingActivities=2024-02-02;NetCashProvidedByUsedInOperatingActivities=2024-02-02;StockholdersEquity=2024-02-02,6,2024-02-02,21,0,latest eligible filed version per exact concept/unit/start/end group,AVAILABLE,2024-02-23,60,0,cumulative_return_20d;cumulative_return_5d;cumulative_return_60d;drawdown_from_60d_peak;high_low_range_20d;realised_volatility_20d_annualised;relative_volume_vs_20d_mean,UNAVAILABLE,,,,none beyond strict inferred window-end gate,,0,0,2d49c37f660cb212b40cd832b801a276aa19e791a51c0f61f978110e392d7e3b,19,799,488,61,1967,1967
AMZN,2024-02-23,2024-02-23T21:00:00+00:00,2024-02-23T16:00:00-05:00,2024-02-26,M1-FINMULTITIME-DRAFT-0.1,UNAVAILABLE,0,2023-12-16,,69,307,0,AVAILABLE,Assets=2024-02-02;NetCashProvidedByUsedInFinancingActivities=2024-02-02;NetCashProvidedByUsedInInvestingActivities=2024-02-02;NetCashProvidedByUsedInOperatingActivities=2024-02-02;StockholdersEquity=2024-02-02,5,2024-02-02,21,0,latest eligible filed version per exact concept/unit/start/end group,AVAILABLE,2024-02-23,60,0,cumulative_return_20d;cumulative_return_5d;cumulative_return_60d;drawdown_from_60d_peak;high_low_range_20d;realised_volatility_20d_annualised;relative_volume_vs_20d_mean,AVAILABLE,amzn_2023_H2_candlestick.png,2023-12-31,54,none beyond strict inferred window-end gate,IMAGE_WINDOW_END_INFERRED_FROM_HALF_YEAR_FILENAME,0,0,99ec620ec7aacc52f815fc06e648ccdd99e204885c4d9619973bfdacde171206,19,687,466,97,1869,1869
JPM,2024-02-23,2024-02-23T21:00:00+00:00,2024-02-23T16:00:00-05:00,2024-02-26,M1-FINMULTITIME-DRAFT-0.1,UNAVAILABLE,0,,,,0,0,AVAILABLE,Assets=2024-02-16;Liabilities=2024-02-16;NetCashProvidedByUsedInFinancingActivities=2024-02-16;NetCashProvidedByUsedInInvestingActivities=2024-02-16;NetCashProvidedByUsedInOperatingActivities=2024-02-16;StockholdersEquity=2024-02-16,6,2024-02-16,7,0,latest eligible filed version per exact concept/unit/start/end group,AVAILABLE,2024-02-23,60,0,cumulative_return_20d;cumulative_return_5d;cumulative_return_60d;drawdown_from_60d_peak;high_low_range_20d;realised_volatility_20d_annualised;relative_volume_vs_20d_mean,AVAILABLE,jpm_2023_H2_candlestick.png,2023-12-31,54,none beyond strict inferred window-end gate,IMAGE_WINDOW_END_INFERRED_FROM_HALF_YEAR_FILENAME,0,0,9d2c7069fa5576f213d6d4d5f35e2d6854ad39ab0f64c7315127c0d120ad79e0,19,803,468,96,1986,1986
AAPL,2024-03-01,2024-03-01T21:00:00+00:00,2024-03-01T16:00:00-05:00,2024-03-04,M1-FINMULTITIME-DRAFT-0.1,UNAVAILABLE,0,2023-12-16,,76,0,0,AVAILABLE,Assets=2024-02-02;Liabilities=2024-02-02;NetCashProvidedByUsedInFinancingActivities=2024-02-02;NetCashProvidedByUsedInInvestingActivities=2024-02-02;NetCashProvidedByUsedInOperatingActivities=2024-02-02;StockholdersEquity=2024-02-02,6,2024-02-02,28,0,latest eligible filed version per exact concept/unit/start/end group,AVAILABLE,2024-03-01,60,0,cumulative_return_20d;cumulative_return_5d;cumulative_return_60d;drawdown_from_60d_peak;high_low_range_20d;realised_volatility_20d_annualised;relative_volume_vs_20d_mean,UNAVAILABLE,,,,none beyond strict inferred window-end gate,,0,0,53a56e2ad58ad1a67af2342db4bb8adfc83560c2a3ea232194da98f4643e293a,19,799,489,61,1968,1968
AMZN,2024-03-01,2024-03-01T21:00:00+00:00,2024-03-01T16:00:00-05:00,2024-03-04,M1-FINMULTITIME-DRAFT-0.1,UNAVAILABLE,0,2023-12-16,,76,307,0,AVAILABLE,Assets=2024-02-02;NetCashProvidedByUsedInFinancingActivities=2024-02-02;NetCashProvidedByUsedInInvestingActivities=2024-02-02;NetCashProvidedByUsedInOperatingActivities=2024-02-02;StockholdersEquity=2024-02-02,5,2024-02-02,28,0,latest eligible filed version per exact concept/unit/start/end group,AVAILABLE,2024-03-01,60,0,cumulative_return_20d;cumulative_return_5d;cumulative_return_60d;drawdown_from_60d_peak;high_low_range_20d;realised_volatility_20d_annualised;relative_volume_vs_20d_mean,AVAILABLE,amzn_2023_H2_candlestick.png,2023-12-31,61,none beyond strict inferred window-end gate,IMAGE_WINDOW_END_INFERRED_FROM_HALF_YEAR_FILENAME,0,0,880e0e88915c28a57508b9b88f895830168601ddb40f33076903287a580cf47d,19,687,467,97,1870,1870
